Junction,CarCount,BusCount,BikeCount,TruckCount,TotalVehicles,Weather,Temperature,Hour,DayOfWeek,IsRushHour,IsWeekend,TrafficSituation
Junction B,8,3,4,1,16,Foggy,11.28748398299644,3,Tuesday,0,0,Low
Junction C,12,2,2,5,21,Rainy,17.20516061391465,4,Tuesday,0,0,Low
Junction A,15,7,15,0,37,Rainy,17.891712386073383,5,Tuesday,0,0,Low
Junction C,25,5,11,7,48,Cloudy,10.18242481428361,6,Tuesday,0,0,Low
Junction C,66,17,31,3,117,Rainy,13.69230481509896,7,Tuesday,1,0,Severe
Junction B,86,11,41,6,144,Cloudy,18.507274600164546,8,Tuesday,1,0,Severe
Junction A,85,28,32,15,160,Rainy,16.829820634171323,9,Tuesday,1,0,Severe
Junction C,51,14,11,10,86,Rainy,14.315281431364426,10,Tuesday,0,0,High
Junction B,57,11,21,10,99,Cloudy,13.456959935039194,11,Tuesday,0,0,High
Junction B,50,13,19,5,87,Stormy,19.255685129067764,12,Tuesday,0,0,Severe
Junction C,56,8,20,9,93,Cloudy,10.33879160246595,13,Tuesday,0,0,Medium
Junction B,61,14,31,6,112,Cloudy,11.906877206636665,14,Tuesday,0,0,High
Junction C,37,16,24,4,81,Stormy,18.397888594565707,15,Tuesday,0,0,Severe
Junction A,67,16,17,8,108,Foggy,16.429255636142532,16,Tuesday,0,0,Severe
Junction B,54,10,24,6,94,Rainy,12.578876854332023,17,Tuesday,1,0,High
Junction A,90,16,26,16,148,Rainy,11.753712786234496,18,Tuesday,1,0,Severe
Junction A,98,14,34,10,156,Foggy,14.371933963572435,19,Tuesday,1,0,Severe
Junction C,33,15,29,10,87,Cloudy,17.70912203745822,20,Tuesday,0,0,Medium
Junction A,31,11,19,4,65,Stormy,10.394268113685058,21,Tuesday,0,0,High
Junction C,40,4,18,13,75,Cloudy,15.394912923753372,22,Tuesday,0,0,Medium
Junction A,30,3,13,6,52,Cloudy,12.872389916540818,23,Tuesday,0,0,Low
Junction C,6,5,15,5,31,Rainy,12.306698117177586,0,Wednesday,0,0,Low
Junction C,18,2,3,4,27,Cloudy,18.9492144122784,1,Wednesday,0,0,Low
Junction A,20,6,12,7,45,Foggy,19.914753351450482,2,Wednesday,0,0,Low
Junction B,19,1,5,2,27,Stormy,10.011201114801095,3,Wednesday,0,0,Low
Junction B,27,7,16,6,56,Cloudy,14.322407838925123,4,Wednesday,0,0,Low
Junction A,22,5,15,3,45,Cloudy,14.886431904046658,5,Wednesday,0,0,Low
Junction B,21,8,15,6,50,Foggy,12.299546058910861,6,Wednesday,0,0,Medium
Junction A,68,16,42,10,136,Cloudy,14.91594546741437,7,Wednesday,1,0,High
Junction A,76,11,34,8,129,Stormy,19.078186529846402,8,Wednesday,1,0,Severe
Junction B,73,10,30,10,123,Rainy,16.894649691372656,9,Wednesday,1,0,Severe
Junction B,55,4,17,12,88,Foggy,14.523182845183001,10,Wednesday,0,0,Severe
Junction A,55,9,33,14,111,Foggy,17.271690697663082,11,Wednesday,0,0,Severe
Junction B,73,18,24,9,124,Cloudy,12.375433249238776,12,Wednesday,0,0,Severe
Junction B,51,17,19,3,90,Cloudy,11.697579050875408,13,Wednesday,0,0,Medium
Junction A,75,15,26,4,120,Foggy,14.463686465125855,14,Wednesday,0,0,Severe
Junction A,50,13,19,6,88,Rainy,16.859677359829842,15,Wednesday,0,0,High
Junction A,59,11,28,9,107,Foggy,19.446142194740233,16,Wednesday,0,0,Severe
Junction A,83,17,32,8,140,Foggy,15.670162609866678,17,Wednesday,1,0,Severe
Junction A,88,20,41,13,162,Cloudy,13.7325179162934,18,Wednesday,1,0,Severe
Junction A,67,17,30,13,127,Foggy,11.089183418467314,19,Wednesday,1,0,Severe
Junction C,37,11,20,7,75,Cloudy,19.270345447963066,20,Wednesday,0,0,Medium
Junction B,59,12,9,5,85,Foggy,15.502265421562617,21,Wednesday,0,0,Severe
Junction B,37,6,12,4,59,Rainy,15.35358101842661,22,Wednesday,0,0,Medium
Junction B,8,2,2,4,16,Rainy,12.74160666559806,23,Wednesday,0,0,Low
Junction A,21,8,8,5,42,Rainy,11.903248628190678,0,Thursday,0,0,Low
Junction A,15,8,13,5,41,Foggy,15.20957977272042,1,Thursday,0,0,Low
Junction A,26,3,6,8,43,Cloudy,15.011529991820098,2,Thursday,0,0,Low
Junction C,12,4,9,3,28,Stormy,18.25200767415568,3,Thursday,0,0,Low
Junction C,28,3,2,2,35,Cloudy,10.613496271106682,4,Thursday,0,0,Low
Junction C,10,4,15,7,36,Cloudy,12.32645538562681,5,Thursday,0,0,Low
Junction B,11,2,5,6,24,Cloudy,19.758737549100537,6,Thursday,0,0,Low
Junction A,67,14,31,14,126,Foggy,14.954521034609819,7,Thursday,1,0,Severe
Junction A,114,19,35,5,173,Cloudy,14.619469366709557,8,Thursday,1,0,Severe
Junction A,83,25,35,14,157,Cloudy,12.056872621955552,9,Thursday,1,0,Severe
Junction B,51,14,20,15,100,Cloudy,19.280836403260498,10,Thursday,0,0,High
Junction A,33,8,21,10,72,Stormy,10.431737357970118,11,Thursday,0,0,High
Junction A,73,12,33,12,130,Cloudy,11.939538672677749,12,Thursday,0,0,High
Junction C,47,9,9,7,72,Rainy,17.220709382027373,13,Thursday,0,0,Medium
Junction C,44,12,20,9,85,Cloudy,13.221080042291856,14,Thursday,0,0,Medium
Junction C,61,14,12,3,90,Cloudy,14.099048896962882,15,Thursday,0,0,Medium
Junction A,64,14,30,9,117,Foggy,10.5613610341621,16,Thursday,0,0,Severe
Junction A,103,11,33,14,161,Foggy,16.569551562671396,17,Thursday,1,0,Severe
Junction A,106,20,38,16,180,Cloudy,11.56381804403448,18,Thursday,1,0,Severe
Junction C,60,18,33,4,115,Foggy,13.934478465635916,19,Thursday,1,0,Severe
Junction C,27,8,10,6,51,Rainy,15.451055282606998,20,Thursday,0,0,Medium
Junction B,44,9,25,7,85,Cloudy,17.56751505688635,21,Thursday,0,0,Medium
Junction A,51,9,34,9,103,Rainy,17.97914159615894,22,Thursday,0,0,High
Junction A,15,3,15,5,38,Foggy,13.230111983862137,23,Thursday,0,0,Low
Junction A,21,10,10,3,44,Cloudy,10.871794678318311,0,Friday,0,0,Low
Junction C,32,4,14,5,55,Cloudy,12.126443763710961,1,Friday,0,0,Low
Junction A,22,5,8,4,39,Foggy,19.817986932606274,2,Friday,0,0,Low
Junction C,27,4,1,6,38,Stormy,18.522638743911813,3,Friday,0,0,Medium
Junction A,29,0,19,5,53,Foggy,15.252397575201602,4,Friday,0,0,Medium
Junction B,10,2,5,4,21,Cloudy,11.400240975533176,5,Friday,0,0,Low
Junction A,23,2,12,6,43,Rainy,15.126677259564165,6,Friday,0,0,Low
Junction B,87,23,36,12,158,Foggy,18.628805029124123,7,Friday,1,0,Severe
Junction C,44,10,25,7,86,Foggy,17.239730554660937,8,Friday,1,0,High
Junction B,66,21,26,8,121,Rainy,10.776146447314408,9,Friday,1,0,Severe
Junction A,69,14,28,9,120,Rainy,10.447784505046682,10,Friday,0,0,Severe
Junction C,19,7,23,9,58,Stormy,13.842067129858002,11,Friday,0,0,High
Junction A,65,12,37,10,124,Rainy,11.683369559191302,12,Friday,0,0,Severe
Junction B,56,11,33,10,110,Rainy,16.20660479824584,13,Friday,0,0,Severe
Junction B,57,12,26,12,107,Rainy,13.753299079196019,14,Friday,0,0,Severe
Junction C,56,7,26,2,91,Foggy,14.483190553694222,15,Friday,0,0,Severe
Junction A,50,17,44,9,120,Cloudy,10.023175479048138,16,Friday,0,0,High
Junction A,77,25,51,12,165,Rainy,10.06088748239839,17,Friday,1,0,Severe
Junction C,62,22,22,15,121,Rainy,12.92515091070742,18,Friday,1,0,Severe
Junction C,71,12,17,0,100,Foggy,12.714093804467144,19,Friday,1,0,Severe
Junction C,27,11,29,0,67,Rainy,14.669679999636108,20,Friday,0,0,Medium
Junction C,46,11,24,8,89,Cloudy,11.669530887471987,21,Friday,0,0,Medium
Junction A,44,14,32,7,97,Rainy,17.196538166105306,22,Friday,0,0,High
Junction B,12,4,11,1,28,Cloudy,18.902150026361745,23,Friday,0,0,Low
Junction A,22,2,6,3,33,Foggy,13.302427793364053,0,Saturday,0,1,Low
Junction B,5,3,0,0,8,Foggy,18.071555373648827,1,Saturday,0,1,Low
Junction C,21,3,14,7,45,Foggy,16.0614656493348,2,Saturday,0,1,Medium
Junction C,13,3,16,3,35,Cloudy,16.428189148001742,3,Saturday,0,1,Low
Junction A,13,3,15,2,33,Cloudy,19.94981369325093,4,Saturday,0,1,Low
Junction A,18,2,4,2,26,Stormy,19.437015928202207,5,Saturday,0,1,Low
Junction B,1,2,6,1,10,Rainy,18.082754395559377,6,Saturday,0,1,Low
Junction B,37,7,19,4,67,Cloudy,17.875490858587792,7,Saturday,1,1,Medium
Junction A,70,10,37,14,131,Cloudy,14.313806487740747,8,Saturday,1,1,High
Junction B,34,12,15,0,61,Stormy,15.069204379618347,9,Saturday,1,1,High
Junction C,40,5,18,6,69,Cloudy,10.100906066890246,10,Saturday,0,1,Medium
Junction C,31,7,10,4,52,Cloudy,17.62482884475553,11,Saturday,0,1,Low
Junction C,29,8,11,5,53,Rainy,13.69280770215541,12,Saturday,0,1,Medium
Junction C,23,9,18,3,53,Foggy,10.114179834540737,13,Saturday,0,1,Medium
Junction B,22,8,12,4,46,Rainy,17.966813971913723,14,Saturday,0,1,Medium
Junction C,34,12,10,5,61,Rainy,10.721110929294351,15,Saturday,0,1,Medium
Junction C,24,9,14,3,50,Cloudy,14.8303969755889,16,Saturday,0,1,Low
Junction A,42,16,27,8,93,Foggy,16.100074170794855,17,Saturday,1,1,High
Junction C,49,3,18,5,75,Stormy,13.990353176424346,18,Saturday,1,1,Severe
Junction B,50,7,14,7,78,Foggy,12.040246657385786,19,Saturday,1,1,High
Junction B,21,11,14,3,49,Foggy,17.379173933540255,20,Saturday,0,1,Medium
Junction C,34,0,17,6,57,Rainy,19.27110628858427,21,Saturday,0,1,Medium
Junction B,30,14,17,5,66,Cloudy,15.056341534219587,22,Saturday,0,1,Medium
Junction B,5,4,0,3,12,Rainy,17.89432194195191,23,Saturday,0,1,Low
Junction C,5,0,0,2,7,Rainy,17.021460961818295,0,Sunday,0,1,Low
Junction C,26,0,6,4,36,Foggy,19.51442028725681,1,Sunday,0,1,Low
Junction C,13,5,1,3,22,Rainy,10.756997273097875,2,Sunday,0,1,Low
Junction C,16,0,4,0,20,Cloudy,14.463868902631948,3,Sunday,0,1,Low
Junction B,1,4,8,2,15,Rainy,15.210731905083879,4,Sunday,0,1,Low
Junction B,18,4,0,0,22,Rainy,16.323913243283876,5,Sunday,0,1,Low
Junction C,4,8,4,3,19,Rainy,17.48232831331896,6,Sunday,0,1,Low
Junction B,42,9,18,4,73,Rainy,13.230273457540939,7,Sunday,1,1,Medium
Junction A,54,16,24,9,103,Cloudy,10.14381446072085,8,Sunday,1,1,Medium
Junction C,44,7,9,4,64,Foggy,11.100632842011152,9,Sunday,1,1,Medium
Junction B,25,5,4,9,43,Foggy,16.09697425152616,10,Sunday,0,1,Medium
Junction A,32,5,10,5,52,Foggy,16.22630533598658,11,Sunday,0,1,Medium
Junction C,7,7,9,3,26,Stormy,11.660218236428609,12,Sunday,0,1,Low
Junction B,35,6,16,7,64,Foggy,11.371484881527431,13,Sunday,0,1,High
Junction B,25,6,12,2,45,Foggy,13.614037790671864,14,Sunday,0,1,Medium
Junction B,26,8,17,5,56,Rainy,15.766140071297178,15,Sunday,0,1,Medium
Junction C,33,11,10,1,55,Cloudy,12.075409362057034,16,Sunday,0,1,Low
Junction C,30,2,14,3,49,Stormy,15.098540095504577,17,Sunday,1,1,Medium
Junction B,39,10,17,5,71,Cloudy,15.684648985079399,18,Sunday,1,1,Medium
Junction B,35,13,16,8,72,Rainy,15.996275684599214,19,Sunday,1,1,Medium
Junction C,13,12,0,4,29,Cloudy,19.680763814507337,20,Sunday,0,1,Low
Junction C,24,9,16,2,51,Cloudy,12.988571352590307,21,Sunday,0,1,Low
Junction B,30,6,10,6,52,Rainy,16.996899090587085,22,Sunday,0,1,Medium
Junction C,12,3,9,3,27,Cloudy,15.679742973160806,23,Sunday,0,1,Low
Junction C,22,7,13,2,44,Foggy,14.773503981224014,0,Monday,0,0,Medium
Junction B,7,3,11,5,26,Stormy,13.118021369557686,1,Monday,0,0,Low
Junction A,17,8,14,4,43,Cloudy,12.553363737632441,2,Monday,0,0,Low
Junction C,15,3,12,5,35,Stormy,19.16420544532066,3,Monday,0,0,Medium
Junction B,35,9,5,1,50,Rainy,13.252111962762113,4,Monday,0,0,Medium
Junction B,6,2,9,3,20,Cloudy,14.181447881627996,5,Monday,0,0,Low
Junction B,27,5,7,6,45,Cloudy,10.393918336928195,6,Monday,0,0,Low
Junction A,75,15,40,8,138,Foggy,18.05648805363342,7,Monday,1,0,Severe
Junction A,81,18,42,8,149,Rainy,13.344011789887487,8,Monday,1,0,Severe
Junction B,100,16,33,11,160,Cloudy,11.712949578216703,9,Monday,1,0,Severe
Junction C,39,4,17,5,65,Foggy,11.411075940213511,10,Monday,0,0,Medium
Junction B,63,8,21,9,101,Rainy,16.653652084189044,11,Monday,0,0,Severe
Junction C,53,4,20,6,83,Stormy,11.350801462257607,12,Monday,0,0,Severe
Junction B,61,16,27,5,109,Cloudy,16.059969672710253,13,Monday,0,0,High
Junction B,41,15,30,8,94,Rainy,15.48145202728022,14,Monday,0,0,High
Junction A,78,16,28,6,128,Cloudy,18.375308340760554,15,Monday,0,0,High
Junction A,58,17,30,6,111,Rainy,14.98971116913766,16,Monday,0,0,High
Junction C,81,13,24,4,122,Foggy,15.531119710583715,17,Monday,1,0,Severe
Junction C,74,19,32,8,133,Cloudy,13.05743957447291,18,Monday,1,0,Severe
Junction A,88,21,39,9,157,Foggy,14.259377084669396,19,Monday,1,0,Severe
Junction B,50,10,17,5,82,Cloudy,12.778451632065655,20,Monday,0,0,Medium
Junction B,60,15,20,5,100,Foggy,13.373028364674864,21,Monday,0,0,Severe
Junction A,46,14,21,12,93,Cloudy,18.832736014262238,22,Monday,0,0,Medium
Junction C,3,3,2,2,10,Rainy,12.149165313867192,23,Monday,0,0,Low
Junction C,15,1,14,4,34,Rainy,12.007709747566786,0,Tuesday,0,0,Low
Junction B,19,5,8,0,32,Rainy,13.418472854980921,1,Tuesday,0,0,Low
Junction C,24,5,1,1,31,Cloudy,14.411505522306324,2,Tuesday,0,0,Low
Junction B,26,6,13,3,48,Cloudy,10.595870973531436,3,Tuesday,0,0,Low
Junction C,9,4,7,1,21,Foggy,12.706199946935968,4,Tuesday,0,0,Low
Junction A,25,8,11,0,44,Stormy,15.248999867258384,5,Tuesday,0,0,Medium
Junction C,25,5,4,1,35,Cloudy,17.65971574855179,6,Tuesday,0,0,Low
Junction B,75,11,22,17,125,Rainy,14.75089872866768,7,Tuesday,1,0,Severe
Junction B,56,13,31,10,110,Rainy,19.96526308798619,8,Tuesday,1,0,Severe
Junction C,66,18,32,8,124,Cloudy,16.949531193430477,9,Tuesday,1,0,High
Junction B,54,17,19,5,95,Cloudy,13.186896039905236,10,Tuesday,0,0,High
Junction B,34,5,19,4,62,Stormy,15.721229637222063,11,Tuesday,0,0,High
Junction B,33,16,14,11,74,Stormy,10.201378489492898,12,Tuesday,0,0,Severe
Junction B,52,13,25,6,96,Cloudy,18.862882164557178,13,Tuesday,0,0,High
Junction C,58,9,18,10,95,Foggy,18.969952893644113,14,Tuesday,0,0,Severe
Junction B,39,7,31,10,87,Cloudy,13.060471662287714,15,Tuesday,0,0,Medium
Junction C,42,15,21,5,83,Foggy,15.489096316400717,16,Tuesday,0,0,High
Junction A,87,21,38,13,159,Cloudy,10.10715297695359,17,Tuesday,1,0,Severe
Junction B,85,14,39,11,149,Rainy,14.512666140731145,18,Tuesday,1,0,Severe
Junction A,85,14,31,17,147,Rainy,12.19634928594569,19,Tuesday,1,0,Severe
Junction C,36,3,19,6,64,Cloudy,16.21330624155707,20,Tuesday,0,0,Medium
Junction C,32,9,10,2,53,Rainy,19.868959453882976,21,Tuesday,0,0,Medium
Junction C,19,17,16,6,58,Cloudy,14.2815517303012,22,Tuesday,0,0,Low
Junction A,24,6,17,0,47,Foggy,18.88191349661304,23,Tuesday,0,0,Medium
Junction C,25,2,11,1,39,Stormy,12.098976295862307,0,Wednesday,0,0,Medium
Junction A,20,7,16,0,43,Rainy,16.714060726437367,1,Wednesday,0,0,Low
Junction A,26,3,14,3,46,Cloudy,10.870712055773081,2,Wednesday,0,0,Low
Junction A,31,1,3,1,36,Rainy,12.012637881344723,3,Wednesday,0,0,Low
Junction A,30,7,8,3,48,Cloudy,19.17220591824863,4,Wednesday,0,0,Low
Junction C,20,3,15,1,39,Cloudy,16.347441411040293,5,Wednesday,0,0,Low
Junction B,19,3,14,4,40,Stormy,12.423536951367623,6,Wednesday,0,0,Medium
Junction C,75,18,33,15,141,Cloudy,15.554972801696314,7,Wednesday,1,0,Severe
Junction C,68,11,30,16,125,Cloudy,10.52826686364722,8,Wednesday,1,0,High
Junction A,98,27,28,14,167,Cloudy,15.066857908540028,9,Wednesday,1,0,Severe
Junction B,65,10,18,5,98,Cloudy,19.205358851025547,10,Wednesday,0,0,High
Junction B,30,16,33,8,87,Rainy,11.192104428405734,11,Wednesday,0,0,High
Junction B,51,13,25,5,94,Rainy,19.932651964297463,12,Wednesday,0,0,High
Junction A,44,13,25,8,90,Rainy,11.645992736995748,13,Wednesday,0,0,High
Junction A,58,21,32,11,122,Cloudy,17.192344190441467,14,Wednesday,0,0,High
Junction B,45,13,28,13,99,Foggy,14.255056592718429,15,Wednesday,0,0,Severe
Junction C,35,11,22,11,79,Cloudy,12.034879945553126,16,Wednesday,0,0,Medium
Junction B,70,11,39,9,129,Rainy,11.680200521926785,17,Wednesday,1,0,Severe
Junction C,73,15,29,8,125,Rainy,19.099301581597185,18,Wednesday,1,0,Severe
Junction B,67,12,51,7,137,Foggy,16.50833221561485,19,Wednesday,1,0,Severe
Junction B,24,2,16,6,48,Rainy,17.096713435045245,20,Wednesday,0,0,Medium
Junction B,45,10,23,12,90,Rainy,15.684319543305033,21,Wednesday,0,0,High
Junction B,56,7,15,12,90,Cloudy,19.66558439380544,22,Wednesday,0,0,Medium
Junction B,25,0,4,2,31,Cloudy,16.68003250743014,23,Wednesday,0,0,Low
Junction A,22,9,11,6,48,Rainy,12.608492459620889,0,Thursday,0,0,Low
Junction A,18,5,16,2,41,Cloudy,10.492944927644164,1,Thursday,0,0,Low
Junction B,27,3,6,6,42,Cloudy,16.871899964686765,2,Thursday,0,0,Low
Junction C,22,2,0,0,24,Rainy,14.443956184510807,3,Thursday,0,0,Low
Junction B,15,6,14,2,37,Cloudy,14.091825874584885,4,Thursday,0,0,Low
Junction B,19,3,9,6,37,Foggy,14.446276579139047,5,Thursday,0,0,Low
Junction A,18,5,6,6,35,Rainy,14.583634794263062,6,Thursday,0,0,Low
Junction C,52,23,29,13,117,Cloudy,16.215187240340484,7,Thursday,1,0,High
Junction C,74,18,33,9,134,Cloudy,16.809532914035763,8,Thursday,1,0,Severe
Junction C,46,13,23,6,88,Stormy,13.60059901930726,9,Thursday,1,0,Severe
Junction C,56,12,29,14,111,Rainy,18.693523009923474,10,Thursday,0,0,Severe
Junction A,66,19,25,10,120,Rainy,12.84058389040429,11,Thursday,0,0,Severe
Junction B,50,7,21,4,82,Foggy,18.508527573220952,12,Thursday,0,0,High
Junction B,40,9,16,10,75,Rainy,17.54827458362331,13,Thursday,0,0,High
Junction A,55,10,26,5,96,Cloudy,11.883025249171064,14,Thursday,0,0,Medium
Junction B,54,5,12,7,78,Cloudy,13.658992986178076,15,Thursday,0,0,Medium
Junction B,56,12,24,11,103,Rainy,12.436147919821943,16,Thursday,0,0,Severe
Junction A,85,21,42,10,158,Cloudy,13.49522801169398,17,Thursday,1,0,Severe
Junction B,69,20,37,14,140,Cloudy,18.05496046032244,18,Thursday,1,0,Severe
Junction B,71,20,29,9,129,Cloudy,10.883969671467584,19,Thursday,1,0,Severe
Junction B,51,10,21,4,86,Cloudy,16.111415232112464,20,Thursday,0,0,Medium
Junction B,39,5,15,4,63,Cloudy,17.360354004260657,21,Thursday,0,0,Medium
Junction C,45,9,14,4,72,Cloudy,19.82256060936615,22,Thursday,0,0,Medium
Junction B,23,4,12,1,40,Foggy,14.511300697978413,23,Thursday,0,0,Medium
Junction A,23,3,12,4,42,Cloudy,10.508025896889423,0,Friday,0,0,Low
Junction C,27,1,11,3,42,Rainy,19.959936491006996,1,Friday,0,0,Low
Junction A,28,2,18,5,53,Cloudy,18.441858958240815,2,Friday,0,0,Low
Junction C,14,8,8,5,35,Cloudy,17.013635603104415,3,Friday,0,0,Low
Junction C,20,7,11,4,42,Cloudy,17.350261491050986,4,Friday,0,0,Low
Junction B,15,6,12,4,37,Cloudy,18.665956885955033,5,Friday,0,0,Low
Junction A,28,4,12,1,45,Cloudy,12.388451604036069,6,Friday,0,0,Low
Junction C,76,23,36,8,143,Rainy,12.049792328259109,7,Friday,1,0,Severe
Junction A,106,23,38,17,184,Cloudy,10.34650709814017,8,Friday,1,0,Severe
Junction A,59,11,49,18,137,Foggy,15.396617889031525,9,Friday,1,0,Severe
Junction C,50,9,21,6,86,Foggy,11.68118097597725,10,Friday,0,0,High
Junction B,48,8,21,7,84,Rainy,12.047194539499989,11,Friday,0,0,High
Junction A,70,9,26,3,108,Rainy,11.101422829189664,12,Friday,0,0,High
Junction C,50,14,39,6,109,Cloudy,17.032800540422507,13,Friday,0,0,High
Junction A,67,14,42,6,129,Cloudy,12.679427501068478,14,Friday,0,0,High
Junction B,48,6,21,8,83,Foggy,16.44213015989618,15,Friday,0,0,Severe
Junction A,66,14,25,15,120,Rainy,19.907488093932187,16,Friday,0,0,Severe
Junction B,70,14,36,11,131,Rainy,18.677231528050925,17,Friday,1,0,Severe
Junction A,86,30,41,12,169,Rainy,16.707273254426006,18,Friday,1,0,Severe
Junction A,73,14,31,12,130,Stormy,14.08699562270934,19,Friday,1,0,Severe
Junction C,30,16,31,8,85,Cloudy,10.101144316608359,20,Friday,0,0,Medium
Junction A,61,12,21,13,107,Rainy,18.92058860209694,21,Friday,0,0,High
Junction A,34,13,18,10,75,Stormy,10.477813646814054,22,Friday,0,0,High
Junction C,23,6,7,0,36,Foggy,17.079409157399947,23,Friday,0,0,Low
Junction A,16,6,12,3,37,Rainy,10.410823649555553,0,Saturday,0,1,Low
Junction C,9,0,12,0,21,Rainy,16.225753978327816,1,Saturday,0,1,Low
Junction C,22,5,11,2,40,Rainy,10.099692347345185,2,Saturday,0,1,Low
Junction C,5,3,12,2,22,Cloudy,13.594646218539435,3,Saturday,0,1,Low
Junction A,29,3,2,4,38,Cloudy,17.549325397850502,4,Saturday,0,1,Low
Junction B,16,4,11,0,31,Foggy,19.200381641090527,5,Saturday,0,1,Low
Junction A,17,3,7,4,31,Rainy,19.44463687882038,6,Saturday,0,1,Low
Junction B,56,12,18,8,94,Rainy,14.850729091426954,7,Saturday,1,1,High
Junction B,37,10,21,10,78,Cloudy,14.17968508013887,8,Saturday,1,1,Medium
Junction C,64,6,21,9,100,Cloudy,11.31709535206355,9,Saturday,1,1,High
Junction B,14,7,18,5,44,Cloudy,13.045231891513833,10,Saturday,0,1,Low
Junction A,42,7,9,4,62,Foggy,18.888550983934195,11,Saturday,0,1,Medium
Junction C,31,7,14,2,54,Rainy,19.945642566845248,12,Saturday,0,1,Medium
Junction B,18,10,6,12,46,Stormy,19.75087169707681,13,Saturday,0,1,Medium
Junction C,39,3,13,5,60,Cloudy,19.61611442254447,14,Saturday,0,1,Low
Junction B,52,11,16,4,83,Cloudy,12.355659345945012,15,Saturday,0,1,Medium
Junction A,44,11,20,7,82,Foggy,17.452414861724414,16,Saturday,0,1,High
Junction B,55,11,16,5,87,Rainy,19.579793532488907,17,Saturday,1,1,High
Junction B,69,11,27,9,116,Cloudy,11.154029593144081,18,Saturday,1,1,High
Junction C,41,8,13,9,71,Rainy,10.988733426626514,19,Saturday,1,1,Medium
Junction B,32,1,24,1,58,Foggy,10.20121721853074,20,Saturday,0,1,Medium
Junction B,39,4,21,5,69,Cloudy,16.72282652513152,21,Saturday,0,1,Medium
Junction C,31,2,10,3,46,Rainy,10.387994547288875,22,Saturday,0,1,Low
Junction A,18,1,0,2,21,Cloudy,18.58752025609184,23,Saturday,0,1,Low
Junction B,22,0,1,1,24,Rainy,14.457298209028693,0,Sunday,0,1,Low
Junction B,9,3,0,3,15,Stormy,19.433101118741497,1,Sunday,0,1,Low
Junction C,12,1,2,5,20,Rainy,15.567092565528538,2,Sunday,0,1,Low
Junction B,12,0,12,2,26,Rainy,12.754299036394729,3,Sunday,0,1,Low
Junction C,12,0,5,0,17,Stormy,11.224814168502972,4,Sunday,0,1,Low
Junction A,21,1,6,1,29,Foggy,16.562029803736067,5,Sunday,0,1,Low
Junction B,12,5,13,1,31,Rainy,16.99312921155304,6,Sunday,0,1,Low
Junction A,51,13,16,7,87,Rainy,14.779995450543115,7,Sunday,1,1,Medium
Junction C,22,11,15,2,50,Rainy,11.707682600033369,8,Sunday,1,1,Medium
Junction A,58,11,32,1,102,Rainy,18.19427853670365,9,Sunday,1,1,High
Junction C,23,1,15,2,41,Cloudy,18.170004834976307,10,Sunday,0,1,Low
Junction A,31,3,19,6,59,Cloudy,10.945563447743883,11,Sunday,0,1,Low
